U,T,Normalized_S_pi_pi
16.0,0.2,0.023915038090273656
16.0,0.1895263157894737,0.02050283621849126
16.0,0.17905263157894738,0.019339656854789444
16.0,0.16857894736842105,0.02042284287122512
16.0,0.15810526315789475,0.022529447027314756
16.0,0.14763157894736845,0.02174265936976767
16.0,0.13715789473684212,0.023991972562040626
16.0,0.1266842105263158,0.026004428653912066
16.0,0.11621052631578949,0.03748793215403982
16.0,0.10573684210526317,0.04755826585902216
16.0,0.09526315789473686,0.03729829409556616
16.0,0.08478947368421054,0.05464865081549754
16.0,0.07431578947368422,0.061197061774906684
16.0,0.06384210526315792,0.24189264585824166
16.0,0.05336842105263159,0.3523101430419577
16.0,0.04289473684210526,0.6061614699445103
16.0,0.03242105263157896,0.8230890792187727
16.0,0.02194736842105266,0.89488672460941
16.0,0.01147368421052633,0.957849088990391
16.0,0.001,0.9904140120182141
