U,T,omega_minus_mu,dos
16.0,0.2,-10.695010175607697,0.001019422172844404
16.0,0.2,-10.62347164600497,0.0010986164977931305
16.0,0.2,-10.551933116402243,0.001190565266732483
16.0,0.2,-10.480394586799516,0.001298758514579021
16.0,0.2,-10.40885605719679,0.0014281316393656806
16.0,0.2,-10.337317527594061,0.0015859121894270672
16.0,0.2,-10.265778997991335,0.001783142377708735
16.0,0.2,-10.194240468388609,0.0020375980606592
16.0,0.2,-10.12270193878588,0.0023798472571715788
16.0,0.2,-10.051163409183154,0.0028671557854927643
16.0,0.2,-9.979624879580427,0.003619896349819311
16.0,0.2,-9.9080863499777,0.004935652894897575
16.0,0.2,-9.836547820374973,0.007751970020014797
16.0,0.2,-9.765009290772245,0.016323876983434512
16.0,0.2,-9.693470761169518,0.04643976131688883
16.0,0.2,-9.621932231566792,0.038841023074379775
16.0,0.2,-9.550393701964063,0.034535780793203325
16.0,0.2,-9.478855172361337,0.03948923128266789
16.0,0.2,-9.40731664275861,0.03975764266647248
16.0,0.2,-9.335778113155882,0.0449517466840713
16.0,0.2,-9.264239583553156,0.04967251495080868
16.0,0.2,-9.19270105395043,0.05678297898500888
16.0,0.2,-9.121162524347701,0.05909168467535033
16.0,0.2,-9.049623994744975,0.05856979879925976
16.0,0.2,-8.978085465142247,0.059351052265347023
16.0,0.2,-8.90654693553952,0.06441861360498592
16.0,0.2,-8.835008405936794,0.07102431802403579
16.0,0.2,-8.763469876334067,0.0686625079479863
16.0,0.2,-8.691931346731339,0.0778615530554821
16.0,0.2,-8.620392817128613,0.07595765247519921
16.0,0.2,-8.548854287525884,0.07861090618141445
16.0,0.2,-8.477315757923158,0.08427886896613321
16.0,0.2,-8.405777228320432,0.08185979271313393
16.0,0.2,-8.334238698717705,0.08296610142440101
16.0,0.2,-8.262700169114977,0.08002360499172499
16.0,0.2,-8.19116163951225,0.0800328286858899
16.0,0.2,-8.119623109909522,0.08406614214873095
16.0,0.2,-8.048084580306796,0.08866532334414047
16.0,0.2,-7.976546050704069,0.08682398840642255
16.0,0.2,-7.905007521101341,0.0873840478876173
16.0,0.2,-7.833468991498615,0.08703835887661655
16.0,0.2,-7.761930461895887,0.09045379465935827
16.0,0.2,-7.69039193229316,0.09378397060878003
16.0,0.2,-7.6188534026904335,0.09661024508071453
16.0,0.2,-7.547314873087706,0.1043816237638878
16.0,0.2,-7.475776343484979,0.09511370474289937
16.0,0.2,-7.404237813882252,0.09614068308027011
16.0,0.2,-7.332699284279525,0.10332306366375299
16.0,0.2,-7.261160754676798,0.1012099730793525
16.0,0.2,-7.189622225074071,0.10276047078189561
16.0,0.2,-7.118083695471344,0.09492872734474675
16.0,0.2,-7.046545165868617,0.10243128175925047
16.0,0.2,-6.97500663626589,0.10349026681491251
16.0,0.2,-6.903468106663162,0.10677242858902003
16.0,0.2,-6.831929577060436,0.10275189165061846
16.0,0.2,-6.760391047457709,0.10378562252028305
16.0,0.2,-6.688852517854982,0.1072298274519139
16.0,0.2,-6.6173139882522545,0.11071310172584421
16.0,0.2,-6.545775458649527,0.10538635985694218
16.0,0.2,-6.474236929046801,0.10463361581316606
16.0,0.2,-6.402698399444073,0.10733291957757132
16.0,0.2,-6.331159869841346,0.10988766574530369
16.0,0.2,-6.259621340238619,0.11030090859123995
16.0,0.2,-6.188082810635892,0.10433019702313177
16.0,0.2,-6.116544281033165,0.10919843036465522
16.0,0.2,-6.045005751430438,0.10213065622469013
16.0,0.2,-5.973467221827711,0.10202427645749082
16.0,0.2,-5.901928692224984,0.1020743482995485
16.0,0.2,-5.8303901626222565,0.10421933211946666
16.0,0.2,-5.758851633019529,0.10259166454704982
16.0,0.2,-5.687313103416803,0.10618412955715315
16.0,0.2,-5.615774573814075,0.1054664954466407
16.0,0.2,-5.544236044211348,0.10259653323599256
16.0,0.2,-5.472697514608622,0.09856349541777401
16.0,0.2,-5.401158985005894,0.0947119360798209
16.0,0.2,-5.329620455403167,0.0926544440334767
16.0,0.2,-5.2580819258004405,0.0926199621694129
16.0,0.2,-5.186543396197713,0.09725804388385369
16.0,0.2,-5.115004866594986,0.09197235118409641
16.0,0.2,-5.0434663369922585,0.08672182109047365
16.0,0.2,-4.971927807389532,0.0861935699406974
16.0,0.2,-4.900389277786805,0.08679592591042103
16.0,0.2,-4.8288507481840774,0.08898249082606952
16.0,0.2,-4.757312218581351,0.08146100234559557
16.0,0.2,-4.685773688978624,0.08434237203537615
16.0,0.2,-4.614235159375896,0.07968807316261174
16.0,0.2,-4.54269662977317,0.07842635958230795
16.0,0.2,-4.471158100170443,0.07552831914458254
16.0,0.2,-4.399619570567715,0.06990286145205735
16.0,0.2,-4.328081040964988,0.06494917379068074
16.0,0.2,-4.2565425113622615,0.06487954453747317
16.0,0.2,-4.185003981759534,0.05517799930571945
16.0,0.2,-4.113465452156807,0.05279654847359
16.0,0.2,-4.04192692255408,0.050809471602748145
16.0,0.2,-3.970388392951353,0.046723329643735864
16.0,0.2,-3.8988498633486257,0.03769768537845459
16.0,0.2,-3.8273113337458984,0.032932163593943964
16.0,0.2,-3.755772804143172,0.032423025510721966
16.0,0.2,-3.6842342745404446,0.022328914741850663
