U,T,m_magnitude
16.0,0.2,5.031788312302568
16.0,0.2,5.807959803009263
16.0,0.2,6.557198919838976
16.0,0.2,5.14631645849607
16.0,0.2,5.925542228535908
16.0,0.2,7.554040318976678
16.0,0.2,7.2102799751464275
16.0,0.2,6.955678196630311
16.0,0.2,6.28482961200973
16.0,0.2,5.800958796621057
16.0,0.2,7.466518619156742
16.0,0.2,5.97300786389074
16.0,0.2,3.8985173934229396
16.0,0.2,6.239219038241029
16.0,0.2,7.142857558480305
16.0,0.2,6.132109529611088
16.0,0.2,6.8776810439980745
16.0,0.2,6.227639217502798
16.0,0.2,5.297163059498031
16.0,0.2,5.2232895372712145
16.0,0.2,7.137977466106124
16.0,0.2,6.649513296781831
16.0,0.2,7.030032710124515
16.0,0.2,5.959969938462194
16.0,0.2,5.474778117177962
16.0,0.2,5.501896353782032
16.0,0.2,6.160388277584859
16.0,0.2,6.993172353027236
16.0,0.2,6.226795972376446
16.0,0.2,4.663138443381622
16.0,0.2,7.080607923311215
16.0,0.2,7.330833982649736
16.0,0.2,5.81664802933973
16.0,0.2,5.032200696788868
16.0,0.2,5.707574921228161
16.0,0.2,6.223454557912491
16.0,0.2,5.443069288408333
16.0,0.2,6.95692120371699
16.0,0.2,8.007915386063097
16.0,0.2,6.759173313469716
16.0,0.2,7.528717122930181
16.0,0.2,6.836419303421269
16.0,0.2,5.699933287615109
16.0,0.2,5.331750883619422
16.0,0.2,7.407434938758776
16.0,0.2,4.207311026426285
16.0,0.2,6.840966106073348
16.0,0.2,6.245288297546196
16.0,0.2,7.311709041851064
16.0,0.2,6.295226223743427
16.0,0.2,5.296729226340485
16.0,0.2,5.772983209047661
16.0,0.2,5.674720157275334
16.0,0.2,7.423974767201532
16.0,0.2,6.1515806859956825
16.0,0.2,7.3713906496884904
16.0,0.2,8.408361239264227
16.0,0.2,5.788729785216696
16.0,0.2,6.459178445527042
16.0,0.2,6.747871243659292
16.0,0.2,7.272827895575532
16.0,0.2,5.754401909354895
16.0,0.2,6.270269866618372
16.0,0.2,6.621987390894172
16.0,0.2,5.104808982347085
16.0,0.2,6.317361586721479
16.0,0.2,5.495047424369093
16.0,0.2,5.247869526580962
16.0,0.2,5.746014686325379
16.0,0.2,7.357455028107446
16.0,0.2,5.616080535280291
16.0,0.2,6.122659204682572
16.0,0.2,5.895392352471879
16.0,0.2,6.536434953183714
16.0,0.2,6.394396585187485
16.0,0.2,6.556487077030904
16.0,0.2,5.126503762415359
16.0,0.2,7.247864670337364
16.0,0.2,5.258790444417769
16.0,0.2,3.972689405376631
16.0,0.2,4.440892586472642
16.0,0.2,6.74089724048617
16.0,0.2,6.827523797287885
16.0,0.2,7.854730761644242
16.0,0.2,6.366973450972041
16.0,0.2,4.482191051652809
16.0,0.2,7.030032710124515
16.0,0.2,7.47539122683823
