U,T,omega_minus_mu,dos
18.0,0.2,-10.809089260228722,0.001059905925771572
18.0,0.2,-10.736787659825854,0.0011465024037813469
18.0,0.2,-10.664486059422988,0.0012476383246854618
18.0,0.2,-10.59218445902012,0.001367430800099969
18.0,0.2,-10.519882858617251,0.001511755278903616
18.0,0.2,-10.447581258214385,0.0016893081410317666
18.0,0.2,-10.375279657811516,0.0019135466427834045
18.0,0.2,-10.302978057408648,0.002206479643147633
18.0,0.2,-10.23067645700578,0.002606729636211693
18.0,0.2,-10.158374856602913,0.0031886441044458196
18.0,0.2,-10.086073256200045,0.0041146130206386865
18.0,0.2,-10.013771655797177,0.005809948753431342
18.0,0.2,-9.94147005539431,0.009744802606082199
18.0,0.2,-9.869168454991442,0.02345487714010114
18.0,0.2,-9.796866854588574,0.057276567256855995
18.0,0.2,-9.724565254185707,0.03659454000077238
18.0,0.2,-9.652263653782839,0.04382791252101935
18.0,0.2,-9.57996205337997,0.04553498887507092
18.0,0.2,-9.507660452977102,0.0488315411634808
18.0,0.2,-9.435358852574236,0.05270679929326265
18.0,0.2,-9.363057252171368,0.05461725298336377
18.0,0.2,-9.2907556517685,0.06487854270625537
18.0,0.2,-9.218454051365633,0.06692132558958093
18.0,0.2,-9.146152450962765,0.07118727516819923
18.0,0.2,-9.073850850559896,0.07296621922260718
18.0,0.2,-9.00154925015703,0.06708654380210241
18.0,0.2,-8.929247649754162,0.06505845174201666
18.0,0.2,-8.856946049351293,0.06645889087665989
18.0,0.2,-8.784644448948427,0.07233520729485288
18.0,0.2,-8.712342848545559,0.07834491746347412
18.0,0.2,-8.64004124814269,0.0836601098502297
18.0,0.2,-8.567739647739824,0.08351427469487004
18.0,0.2,-8.495438047336956,0.08037558292448635
18.0,0.2,-8.423136446934087,0.08416017202511988
18.0,0.2,-8.35083484653122,0.0841902650879396
18.0,0.2,-8.278533246128353,0.08400862498172039
18.0,0.2,-8.206231645725484,0.08698515752887084
18.0,0.2,-8.133930045322616,0.09102180471963653
18.0,0.2,-8.061628444919748,0.08862116930200735
18.0,0.2,-7.9893268445168815,0.0916887292626332
18.0,0.2,-7.917025244114013,0.08980229966314167
18.0,0.2,-7.844723643711146,0.09664522963249092
18.0,0.2,-7.7724220433082785,0.10049774902551974
18.0,0.2,-7.70012044290541,0.0993616620827741
18.0,0.2,-7.627818842502543,0.09827369989023728
18.0,0.2,-7.5555172420996755,0.0981353763065447
18.0,0.2,-7.483215641696807,0.10173331408403949
18.0,0.2,-7.410914041293939,0.10354285065459015
18.0,0.2,-7.338612440891072,0.10267484378829943
18.0,0.2,-7.266310840488204,0.09979484917939509
18.0,0.2,-7.194009240085336,0.10105628977221119
18.0,0.2,-7.121707639682469,0.09826028455862408
18.0,0.2,-7.049406039279601,0.1057017998518629
18.0,0.2,-6.977104438876733,0.10802723278014655
18.0,0.2,-6.904802838473866,0.10187462101562983
18.0,0.2,-6.832501238070998,0.10484104783419093
18.0,0.2,-6.76019963766813,0.10408451349497017
18.0,0.2,-6.6878980372652626,0.10647100375745229
18.0,0.2,-6.615596436862394,0.10546501993602571
18.0,0.2,-6.543294836459527,0.10784249638048511
18.0,0.2,-6.4709932360566595,0.1155047243610275
18.0,0.2,-6.398691635653791,0.10582090841131701
18.0,0.2,-6.326390035250924,0.10179981688144998
18.0,0.2,-6.254088434848056,0.10740695564064748
18.0,0.2,-6.181786834445188,0.10931160142535494
18.0,0.2,-6.109485234042321,0.10626752393992991
18.0,0.2,-6.037183633639453,0.11009841272641327
18.0,0.2,-5.964882033236585,0.10165430029732356
18.0,0.2,-5.892580432833717,0.10076735338983038
18.0,0.2,-5.82027883243085,0.09793581238107833
18.0,0.2,-5.747977232027982,0.093565986821593
18.0,0.2,-5.675675631625114,0.08921214185429566
18.0,0.2,-5.603374031222247,0.09622006355165981
18.0,0.2,-5.531072430819378,0.09021052133872251
18.0,0.2,-5.458770830416511,0.09289189801740558
18.0,0.2,-5.386469230013644,0.09334781567598335
18.0,0.2,-5.314167629610775,0.08900322525836576
18.0,0.2,-5.241866029207908,0.08591891395189195
18.0,0.2,-5.169564428805041,0.08515140936781199
18.0,0.2,-5.097262828402172,0.0799522527324679
18.0,0.2,-5.024961227999305,0.07702315993490376
18.0,0.2,-4.952659627596437,0.0781459025055529
18.0,0.2,-4.880358027193569,0.0777373071736834
18.0,0.2,-4.808056426790702,0.07322805642393836
18.0,0.2,-4.735754826387834,0.07260303114603624
18.0,0.2,-4.663453225984966,0.06725299655221809
18.0,0.2,-4.591151625582098,0.059879574448517325
18.0,0.2,-4.518850025179231,0.06181773220317431
18.0,0.2,-4.446548424776363,0.0575920360011352
18.0,0.2,-4.374246824373495,0.051484319737824955
18.0,0.2,-4.301945223970628,0.049290220858764874
18.0,0.2,-4.2296436235677595,0.04625090428941027
18.0,0.2,-4.157342023164892,0.043850861761177085
