U,T,m_magnitude
18.0,0.2,7.030032710124515
18.0,0.2,5.94796676619412
18.0,0.2,5.876263972903658
18.0,0.2,5.2692856317299395
18.0,0.2,4.7445590082153055
18.0,0.2,7.35188524889185
18.0,0.2,4.137613766778701
18.0,0.2,6.229734335763878
18.0,0.2,7.129418665677358
18.0,0.2,7.579988569029336
18.0,0.2,7.477874417776217
18.0,0.2,6.761966496917878
18.0,0.2,7.247745064233875
18.0,0.2,7.608241095490852
18.0,0.2,6.441533378213285
18.0,0.2,5.525430701040973
18.0,0.2,8.133411573938504
18.0,0.2,6.2528049553857885
18.0,0.2,7.317737289218456
18.0,0.2,6.23098998410956
18.0,0.2,5.482128135219533
18.0,0.2,6.449568287932949
18.0,0.2,5.401062222159134
18.0,0.2,7.468381065503405
18.0,0.2,7.311709041851064
18.0,0.2,6.714518075406703
18.0,0.2,8.408361239264227
18.0,0.2,5.108743143974555
18.0,0.2,4.830482947853798
18.0,0.2,7.490385591677023
18.0,0.2,6.610188308289129
18.0,0.2,7.1665605264493815
18.0,0.2,5.7833378801308815
18.0,0.2,7.212751029573762
18.0,0.2,6.459415370230411
18.0,0.2,7.8437708401114605
18.0,0.2,6.878377870141583
18.0,0.2,6.938877389235917
18.0,0.2,7.128619240779368
18.0,0.2,5.898475099433703
18.0,0.2,6.2742348205103164
18.0,0.2,6.198133063215174
18.0,0.2,7.597413688451815
18.0,0.2,7.1368203687260925
18.0,0.2,4.4025959175685
18.0,0.2,5.206144290806849
18.0,0.2,8.192917210265298
18.0,0.2,7.2946736743456295
18.0,0.2,7.201036207940538
18.0,0.2,6.3654411017603065
18.0,0.2,7.287374359180586
18.0,0.2,7.149902686755331
18.0,0.2,7.594421959765894
18.0,0.2,5.037996722003885
18.0,0.2,6.218311418217414
18.0,0.2,7.756245500493714
18.0,0.2,5.825035315608311
18.0,0.2,6.351800058752145
18.0,0.2,8.109354294122292
18.0,0.2,7.416438390558468
18.0,0.2,7.010010404112947
18.0,0.2,5.153491666751915
18.0,0.2,6.363635085461874
18.0,0.2,7.6101848833162995
18.0,0.2,6.032760025337222
18.0,0.2,6.761215302850658
18.0,0.2,4.871097722583786
18.0,0.2,7.358573944975829
18.0,0.2,7.174283103795894
18.0,0.2,6.574184319536598
18.0,0.2,6.2566974778811675
18.0,0.2,5.1020869744064985
18.0,0.2,5.309037606362712
18.0,0.2,7.272767324225436
18.0,0.2,7.477874417776217
18.0,0.2,7.800980800554777
18.0,0.2,7.62386655181217
18.0,0.2,7.2865259756604726
18.0,0.2,7.250071267936832
18.0,0.2,5.6671123929386065
18.0,0.2,8.133411573938504
18.0,0.2,8.037728710299055
18.0,0.2,7.262694166596663
18.0,0.2,6.877848411555314
18.0,0.2,6.6990984100038045
18.0,0.2,6.449568287932949
18.0,0.2,5.910731418954039
18.0,0.2,6.727327905580142
18.0,0.2,7.439112754685654
18.0,0.2,6.376983030464376
18.0,0.2,6.0950078526179485
18.0,0.2,6.793853600166334
18.0,0.2,7.528305556098855
18.0,0.2,7.490385591677023
18.0,0.2,7.307436331803979
18.0,0.2,7.1665605264493815
18.0,0.2,6.520564857114009
18.0,0.2,7.093385693487515
18.0,0.2,6.214980247761998
18.0,0.2,7.49431100294057
18.0,0.2,7.779948763584689
18.0,0.2,6.696251113377588
18.0,0.2,6.639384943246252
18.0,0.2,5.969377683973134
18.0,0.2,6.440562769722814
18.0,0.2,6.101321051400841
18.0,0.2,7.597413688451815
18.0,0.2,7.29969143677851
18.0,0.2,6.079029883021526
18.0,0.2,7.206362861102559
18.0,0.2,8.192917210265298
18.0,0.2,6.7864789043987255
18.0,0.2,7.201036207940538
18.0,0.2,7.647122281656465
18.0,0.2,5.903981993306525
18.0,0.2,5.36661917408206
18.0,0.2,7.594421959765894
18.0,0.2,5.975087226401039
18.0,0.2,5.761713599115187
18.0,0.2,7.756245500493714
18.0,0.2,7.084421909314513
18.0,0.2,6.318329725130555
18.0,0.2,5.97080128947312
18.0,0.2,6.888494638402068
18.0,0.2,7.200037033468411
18.0,0.2,6.464839626077885
18.0,0.2,7.583800254186368
18.0,0.2,6.3994701990983955
18.0,0.2,6.721977989000889
18.0,0.2,7.172508294076201
18.0,0.2,6.707507029181189
18.0,0.2,6.6027325510583
18.0,0.2,7.117693867054544
18.0,0.2,6.385183853171198
18.0,0.2,5.785738374685611
18.0,0.2,6.950557312483957
18.0,0.2,7.22729588509885
18.0,0.2,7.147323124409193
18.0,0.2,6.732434377162157
18.0,0.2,7.800980800554777
18.0,0.2,7.114572777634117
18.0,0.2,7.2865259756604726
18.0,0.2,7.250071267936832
18.0,0.2,5.445971914263651
18.0,0.2,8.133411573938504
18.0,0.2,8.037728710299055
18.0,0.2,5.361253541823893
18.0,0.2,7.3834604676379305
18.0,0.2,6.6990984100038045
18.0,0.2,6.413702163579159
18.0,0.2,5.87119673379238
18.0,0.2,6.614506811645634
18.0,0.2,7.439112754685654
18.0,0.2,6.862049071064005
18.0,0.2,6.540972686340986
18.0,0.2,8.122220637917072
18.0,0.2,7.528305556098855
18.0,0.2,7.490385591677023
18.0,0.2,7.307436331803979
18.0,0.2,7.42205696602477
18.0,0.2,7.144358596311641
18.0,0.2,6.888844892175969
18.0,0.2,5.476105891199347
18.0,0.2,6.941771126408397
18.0,0.2,7.765269437013967
18.0,0.2,7.553560928081824
18.0,0.2,5.57321239694523
18.0,0.2,6.747436602129281
18.0,0.2,6.470237347861883
18.0,0.2,6.82724861496582
18.0,0.2,7.237990827000012
18.0,0.2,5.738851360275931
18.0,0.2,7.42424009368682
18.0,0.2,7.206362861102559
18.0,0.2,8.192917210265298
18.0,0.2,6.7864789043987255
18.0,0.2,6.192722380213742
18.0,0.2,7.647122281656465
18.0,0.2,7.114060649433978
18.0,0.2,4.804725938766531
18.0,0.2,6.8395718754373975
18.0,0.2,5.8899357830268775
18.0,0.2,6.7442746679304335
18.0,0.2,6.583171222485981
18.0,0.2,6.680570136891105
18.0,0.2,6.4140502317714265
18.0,0.2,7.069607106573365
18.0,0.2,7.196149359406395
18.0,0.2,6.824850299950088
18.0,0.2,7.326570616114982
18.0,0.2,5.745678203541389
18.0,0.2,5.80048266368187
18.0,0.2,4.911851483301651
18.0,0.2,7.172508294076201
18.0,0.2,7.4761084524864385
18.0,0.2,6.100306997150637
18.0,0.2,6.191292478324806
18.0,0.2,6.385183853171198
18.0,0.2,7.53526540847304
18.0,0.2,7.139855446066656
18.0,0.2,6.807710279837123
18.0,0.2,7.147323124409193
18.0,0.2,5.646143870047059
18.0,0.2,6.854727996885467
18.0,0.2,6.59727954228005
18.0,0.2,7.2865259756604726
18.0,0.2,5.864744921167798
18.0,0.2,6.839268215593818
18.0,0.2,7.309796366772189
18.0,0.2,7.543244857326411
18.0,0.2,5.415194050735725
18.0,0.2,7.3834604676379305
18.0,0.2,5.282188533892892
18.0,0.2,6.923442753897872
18.0,0.2,7.777272162756552
18.0,0.2,5.468886110483932
18.0,0.2,7.439112754685654
18.0,0.2,6.862049071064005
18.0,0.2,6.093079400210381
18.0,0.2,6.811345546934792
18.0,0.2,7.528305556098855
18.0,0.2,7.049823931850206
18.0,0.2,6.396408221332718
18.0,0.2,4.792467001897216
18.0,0.2,7.978563959833733
18.0,0.2,6.888844892175969
18.0,0.2,6.549217775056124
18.0,0.2,7.199227169012836
18.0,0.2,7.34375860193593
18.0,0.2,7.553560928081824
18.0,0.2,6.001161433078788
18.0,0.2,2.875781310635843
18.0,0.2,6.72593036380846
18.0,0.2,6.195831698058026
18.0,0.2,6.986265472907293
18.0,0.2,6.102160488979157
18.0,0.2,6.208628628589255
18.0,0.2,7.211941407271546
18.0,0.2,6.8369636118749595
18.0,0.2,6.189979654277503
18.0,0.2,6.8614864745639705
18.0,0.2,6.432039432650627
18.0,0.2,7.004419201103747
