U,T,m_magnitude
12.0,0.2,5.233674333595125
12.0,0.2,7.434612806663838
12.0,0.2,6.374173135030182
12.0,0.2,5.479715604221094
12.0,0.2,5.835047479109712
12.0,0.2,6.441994412952297
12.0,0.2,4.052058734562731
12.0,0.2,4.461683915250176
12.0,0.2,6.15146215404181
12.0,0.2,5.767183727704317
12.0,0.2,6.262639036740955
12.0,0.2,6.1684361202453895
12.0,0.2,5.101662112281613
12.0,0.2,4.0486746349642235
12.0,0.2,5.017189446689934
12.0,0.2,6.292699806267629
12.0,0.2,4.671951011340025
12.0,0.2,6.409835411886591
12.0,0.2,3.984917320048562
12.0,0.2,5.632282931427209
12.0,0.2,6.365679210415157
12.0,0.2,5.914754039952237
12.0,0.2,5.500186440852697
12.0,0.2,6.193868932279298
12.0,0.2,5.074711212817432
12.0,0.2,6.7539535111867
12.0,0.2,7.091224382119476
12.0,0.2,5.720987214146468
12.0,0.2,5.0784539025796125
12.0,0.2,4.9015324069602455
12.0,0.2,5.533921964454615
12.0,0.2,6.571345940778289
12.0,0.2,4.888512520026659
12.0,0.2,3.2528847530424803
12.0,0.2,4.829218906576207
12.0,0.2,7.065127075774361
12.0,0.2,5.813825093605757
12.0,0.2,5.732272155349503
12.0,0.2,3.8361589934410043
12.0,0.2,4.763322310591792
12.0,0.2,5.69340507942289
12.0,0.2,5.42820186078583
12.0,0.2,4.820562682140425
12.0,0.2,5.9694382610643695
12.0,0.2,6.15923090375247
12.0,0.2,3.78546747961335
12.0,0.2,6.69721856996336
12.0,0.2,6.52607696286921
12.0,0.2,6.593394794676743
12.0,0.2,5.500793632162312
12.0,0.2,6.320404654456797
12.0,0.2,6.63861283585635
12.0,0.2,3.7294958188089673
12.0,0.2,5.195710631483069
12.0,0.2,6.014996185207798
12.0,0.2,4.312592353819921
12.0,0.2,4.955055570971752
12.0,0.2,4.917344320181539
12.0,0.2,6.437879714538501
12.0,0.2,3.2347089128753375
12.0,0.2,5.939309906619562
12.0,0.2,5.288691889239096
12.0,0.2,5.561172782766103
12.0,0.2,5.6683531719091445
12.0,0.2,5.6054814797982955
12.0,0.2,7.150331692272337
12.0,0.2,4.736824108356308
12.0,0.2,5.720472080005224
12.0,0.2,5.650636177818724
12.0,0.2,5.517659222148633
12.0,0.2,5.585547783353576
12.0,0.2,6.806839588645582
12.0,0.2,5.578204047144945
12.0,0.2,4.925079819801058
12.0,0.2,4.5956690994785045
12.0,0.2,5.154848326588719
12.0,0.2,5.249363863275751
12.0,0.2,4.846743953451698
12.0,0.2,5.002582674905849
12.0,0.2,4.200604074871121
12.0,0.2,5.491456280417337
12.0,0.2,5.461902589976443
12.0,0.2,6.560457340749701
12.0,0.2,5.810835457903661
12.0,0.2,3.3343625074079464
12.0,0.2,4.763756313482355
12.0,0.2,6.526160159984943
12.0,0.2,5.790610609981201
12.0,0.2,3.939030141607243
12.0,0.2,5.3700744672145335
12.0,0.2,4.612841821623256
12.0,0.2,6.152534469737814
12.0,0.2,5.1572588593108
12.0,0.2,4.819399912122481
12.0,0.2,6.892061387816137
12.0,0.2,6.216770945808792
12.0,0.2,6.704256402152849
12.0,0.2,7.423216288143686
12.0,0.2,5.4035815256378985
12.0,0.2,5.162019720528367
12.0,0.2,4.746331726908356
12.0,0.2,6.139242991498104
12.0,0.2,6.069681909794307
12.0,0.2,5.458475533511801
12.0,0.2,4.635912820427854
12.0,0.2,6.271060391758762
12.0,0.2,5.00658924769985
12.0,0.2,4.089803176589493
12.0,0.2,4.114108102775132
12.0,0.2,2.893555690354229
12.0,0.2,7.247745064233875
12.0,0.2,4.131376557630684
12.0,0.2,5.691909519017588
12.0,0.2,5.738256746109942
12.0,0.2,5.270794138989556
12.0,0.2,6.09143622668133
12.0,0.2,7.51690370941581
12.0,0.2,4.699225920662183
12.0,0.2,5.254333069885311
12.0,0.2,4.7546855109975645
12.0,0.2,4.284584736937871
12.0,0.2,7.2600236632307915
12.0,0.2,5.218540852886182
12.0,0.2,6.118634548423062
12.0,0.2,5.025293630557502
12.0,0.2,5.425483680775601
12.0,0.2,4.718404695211954
12.0,0.2,5.55204510378062
12.0,0.2,5.8909727634232825
12.0,0.2,6.329457381754109
12.0,0.2,5.677368839716966
12.0,0.2,6.574081050123322
12.0,0.2,4.239409526318462
12.0,0.2,6.223454557912491
12.0,0.2,5.6681198942236355
12.0,0.2,4.91277442083991
12.0,0.2,5.842601801413898
12.0,0.2,6.890060295492484
12.0,0.2,6.521655763912292
12.0,0.2,6.353975739024262
12.0,0.2,5.166144262738667
12.0,0.2,5.747875149555558
12.0,0.2,5.880543281182305
12.0,0.2,4.719958377321506
12.0,0.2,6.101675326862834
12.0,0.2,6.14319188409283
12.0,0.2,5.702942051391989
12.0,0.2,5.278541982118458
12.0,0.2,4.698727231262049
12.0,0.2,5.815582479595042
12.0,0.2,4.4080070408518806
12.0,0.2,5.215785460159442
12.0,0.2,4.583817977574884
12.0,0.2,6.087319891297892
12.0,0.2,8.408361239264227
12.0,0.2,4.866004980353051
12.0,0.2,6.221746765585721
12.0,0.2,4.2283560306661965
12.0,0.2,5.236601748750149
12.0,0.2,4.432101539669088
12.0,0.2,5.057987018713378
12.0,0.2,5.807959803009263
12.0,0.2,5.074026466804572
12.0,0.2,6.661907998632251
12.0,0.2,5.463603106371652
12.0,0.2,5.956775579317982
12.0,0.2,6.509805044715038
12.0,0.2,6.479969773014443
12.0,0.2,5.228905589770727
12.0,0.2,6.013675172371249
12.0,0.2,4.971521505912333
12.0,0.2,6.157843516482251
12.0,0.2,4.97282320851496
12.0,0.2,5.410100265669553
12.0,0.2,2.022176102790004
12.0,0.2,3.7105605130187986
12.0,0.2,4.847863252397228
12.0,0.2,6.061334062950454
12.0,0.2,5.295465631816622
12.0,0.2,4.466340477102749
12.0,0.2,4.95119206475521
12.0,0.2,5.2232895372712145
12.0,0.2,5.389792734815413
12.0,0.2,6.7832977026472
12.0,0.2,6.267095734110314
12.0,0.2,5.845501974663875
12.0,0.2,6.159538759247066
12.0,0.2,5.117703507852902
12.0,0.2,6.160388277584859
12.0,0.2,6.315258319935341
12.0,0.2,6.226795972376446
12.0,0.2,4.663138443381622
12.0,0.2,6.036933913629279
12.0,0.2,6.950208728372023
12.0,0.2,5.09648410189737
12.0,0.2,5.998650337211876
12.0,0.2,5.1253028811952515
12.0,0.2,5.874366358100573
12.0,0.2,6.197251591292294
12.0,0.2,6.5640311307696955
12.0,0.2,5.744986326194673
12.0,0.2,5.38149173987303
12.0,0.2,4.761818035299451
12.0,0.2,6.437352927811909
12.0,0.2,5.131425545869923
12.0,0.2,5.114950783192737
12.0,0.2,6.363635085461874
12.0,0.2,4.578808995144491
12.0,0.2,5.980428213897399
12.0,0.2,5.482521796763871
12.0,0.2,5.479201307221836
12.0,0.2,5.53755534166799
12.0,0.2,6.566016247000817
12.0,0.2,4.221420220083799
12.0,0.2,5.842834483498442
12.0,0.2,5.757389141080341
12.0,0.2,7.554252524939239
12.0,0.2,6.602457015324908
12.0,0.2,5.117372495396361
12.0,0.2,5.441900976992162
12.0,0.2,5.187451891044524
12.0,0.2,5.2114162177264856
12.0,0.2,7.272767324225436
12.0,0.2,5.671086493389258
12.0,0.2,3.9206896577970762
12.0,0.2,5.392822897756484
12.0,0.2,6.480415537735193
12.0,0.2,5.542892164527383
12.0,0.2,6.867420644588598
12.0,0.2,6.094141237754477
12.0,0.2,6.9097631488243625
12.0,0.2,6.299527226453923
12.0,0.2,5.175632912941801
12.0,0.2,4.983592784063434
12.0,0.2,5.656671396782484
12.0,0.2,5.616603810600667
12.0,0.2,3.850628261420105
12.0,0.2,6.198133063215174
