U,T,Normalized_S_pi_pi
12.0,0.2,0.02561108915140662
12.0,0.1895263157894737,0.029545705880029013
12.0,0.17905263157894738,0.03673983677007764
12.0,0.16857894736842105,0.03389009275535401
12.0,0.15810526315789475,0.033161211046566386
12.0,0.14763157894736845,0.04121677431023572
12.0,0.13715789473684212,0.04553345508563985
12.0,0.1266842105263158,0.05225698748652681
12.0,0.11621052631578949,0.062077911810550446
12.0,0.10573684210526317,0.07787926371867475
12.0,0.09526315789473686,0.08858017219979104
12.0,0.08478947368421054,0.10588294565562394
12.0,0.07431578947368422,0.17810904107150266
12.0,0.06384210526315792,0.22224140246650645
12.0,0.05336842105263159,0.5432316427968567
12.0,0.04289473684210526,0.6382606258880591
12.0,0.03242105263157896,0.7822349373043257
12.0,0.02194736842105266,0.8658009365170467
12.0,0.01147368421052633,0.9142775012345538
12.0,0.001,0.9572233495266003
