U,T,Normalized_S_pi_pi
6.0,0.2,0.08663556777587289
6.0,0.1895263157894737,0.0755587340164859
6.0,0.17905263157894738,0.09626301870507491
6.0,0.16857894736842105,0.0796344545446074
6.0,0.15810526315789475,0.10017236233593793
6.0,0.14763157894736845,0.11240415113423632
6.0,0.13715789473684212,0.10912733117417561
6.0,0.1266842105263158,0.21890217418270583
6.0,0.11621052631578949,0.29905869048451283
6.0,0.10573684210526317,0.3859906249267408
6.0,0.09526315789473686,0.34114990855920224
6.0,0.08478947368421054,0.49465202875815506
6.0,0.07431578947368422,0.5250085597865017
6.0,0.06384210526315792,0.6765219400209755
6.0,0.05336842105263159,0.6640763058801109
6.0,0.04289473684210526,0.7363853400106036
6.0,0.03242105263157896,0.8038200379663341
6.0,0.02194736842105266,0.8603706900472379
6.0,0.01147368421052633,0.8976067880111991
6.0,0.001,0.9363304013879878
