U,T,omega_minus_mu,dos
20.0,0.2,-13.065362543212496,0.0010804248325668418
20.0,0.2,-12.97796881382646,0.0011907748523639359
20.0,0.2,-12.890575084440423,0.001324503399475759
20.0,0.2,-12.803181355054386,0.0014901834982036764
20.0,0.2,-12.715787625668348,0.001701293763716459
20.0,0.2,-12.628393896282311,0.0019803576865932274
20.0,0.2,-12.541000166896275,0.002368108185910217
20.0,0.2,-12.453606437510238,0.002946456399862956
20.0,0.2,-12.366212708124202,0.003906670254692552
20.0,0.2,-12.278818978738165,0.005808020355083427
20.0,0.2,-12.191425249352127,0.011019094157494264
20.0,0.2,-12.10403151996609,0.03649035726303766
20.0,0.2,-12.016637790580054,0.048417214963568905
20.0,0.2,-11.929244061194018,0.040612523021098974
20.0,0.2,-11.841850331807981,0.04317724799014262
20.0,0.2,-11.754456602421945,0.05033520720730058
20.0,0.2,-11.667062873035906,0.056461698328874654
20.0,0.2,-11.57966914364987,0.06491157061974015
20.0,0.2,-11.492275414263833,0.06964111381052965
20.0,0.2,-11.404881684877797,0.07000267115731358
20.0,0.2,-11.31748795549176,0.07090065240188351
20.0,0.2,-11.230094226105724,0.0823211242456028
20.0,0.2,-11.142700496719687,0.07562711205153734
20.0,0.2,-11.05530676733365,0.0790921098964201
20.0,0.2,-10.967913037947612,0.07846517557061798
20.0,0.2,-10.880519308561576,0.08675249659051061
20.0,0.2,-10.79312557917554,0.08163276260589325
20.0,0.2,-10.705731849789503,0.08691308263453243
20.0,0.2,-10.618338120403465,0.08890059192805984
20.0,0.2,-10.530944391017428,0.09406334264486545
20.0,0.2,-10.443550661631392,0.09472361235780559
20.0,0.2,-10.356156932245355,0.10008149837908842
20.0,0.2,-10.268763202859319,0.09403675072097374
20.0,0.2,-10.181369473473282,0.10417277309651622
20.0,0.2,-10.093975744087246,0.10017121228821098
20.0,0.2,-10.006582014701209,0.106007381021614
20.0,0.2,-9.919188285315172,0.10210278672930624
20.0,0.2,-9.831794555929134,0.10832566273063463
20.0,0.2,-9.744400826543098,0.10384723262557327
20.0,0.2,-9.657007097157061,0.10306238279076692
20.0,0.2,-9.569613367771025,0.10569230698906613
20.0,0.2,-9.482219638384986,0.10814516955781954
20.0,0.2,-9.39482590899895,0.10969313358828434
20.0,0.2,-9.307432179612913,0.10840020787993687
20.0,0.2,-9.220038450226877,0.10727311190115263
20.0,0.2,-9.13264472084084,0.11031559288593143
20.0,0.2,-9.045250991454804,0.10980417407936886
20.0,0.2,-8.957857262068767,0.10305877291921237
20.0,0.2,-8.87046353268273,0.10526127792810595
20.0,0.2,-8.783069803296694,0.10744894029289005
20.0,0.2,-8.695676073910656,0.10789249891771742
20.0,0.2,-8.60828234452462,0.10253243449863222
20.0,0.2,-8.520888615138583,0.09962397392286998
20.0,0.2,-8.433494885752545,0.09697030940626436
20.0,0.2,-8.346101156366508,0.09342035171995455
20.0,0.2,-8.258707426980472,0.10002612109968737
20.0,0.2,-8.171313697594435,0.09253102937306687
20.0,0.2,-8.083919968208399,0.09117959011396251
20.0,0.2,-7.996526238822362,0.0897761571256142
20.0,0.2,-7.909132509436326,0.0908173115671009
20.0,0.2,-7.821738780050288,0.08706394960381476
20.0,0.2,-7.734345050664252,0.07861566502191526
20.0,0.2,-7.646951321278215,0.07954090200687605
20.0,0.2,-7.559557591892178,0.07574041559541975
20.0,0.2,-7.472163862506141,0.08043520085360144
20.0,0.2,-7.384770133120105,0.08103270443105291
20.0,0.2,-7.297376403734067,0.07451440095275691
20.0,0.2,-7.209982674348031,0.07306767471004369
20.0,0.2,-7.122588944961994,0.06759376526069735
20.0,0.2,-7.035195215575957,0.0676216584898868
20.0,0.2,-6.94780148618992,0.06893940290729515
20.0,0.2,-6.860407756803884,0.05868109700435574
20.0,0.2,-6.773014027417847,0.04946648333056926
20.0,0.2,-6.68562029803181,0.044180667850010645
20.0,0.2,-6.5982265686457735,0.04440077532241833
20.0,0.2,-6.510832839259737,0.046599152135143686
20.0,0.2,-6.4234391098737,0.041425054840171505
20.0,0.2,-6.336045380487663,0.03414113691737587
20.0,0.2,-6.248651651101627,0.027809391664360094
20.0,0.2,-6.161257921715589,0.021937343900819237
20.0,0.2,-6.073864192329553,0.01808989456729431
20.0,0.2,-5.986470462943516,0.015045052708291031
20.0,0.2,-5.899076733557479,0.014106951268771106
20.0,0.2,-5.811683004171442,0.011244202059444791
20.0,0.2,-5.724289274785406,0.01016103610460287
20.0,0.2,-5.636895545399368,0.00818718629806647
20.0,0.2,-5.549501816013332,0.007514697435704415
20.0,0.2,-5.462108086627295,0.0047179778766154685
20.0,0.2,-5.374714357241258,0.002939454625502505
20.0,0.2,-5.287320627855221,0.0017663247069096537
20.0,0.2,-5.199926898469185,0.001404050833510487
20.0,0.2,-5.112533169083148,0.0012391555220850584
20.0,0.2,-5.025139439697112,0.00123273370950741
20.0,0.2,-4.937745710311074,0.0018819223795346722
20.0,0.2,-4.850351980925037,0.0013907746854347706
20.0,0.2,-4.7629582515390005,0.0009448758836098746
20.0,0.2,-4.675564522152964,0.0008447707713044407
20.0,0.2,-4.5881707927669275,0.0008778328062730972
20.0,0.2,-4.500777063380891,0.0014366357616872134
20.0,0.2,-4.4133833339948545,0.0012549013609092607
20.0,0.2,-4.325989604608816,0.0007268547426921382
20.0,0.2,-4.23859587522278,0.0006063898989542162
20.0,0.2,-4.151202145836743,0.0005508534527980048
20.0,0.2,-4.063808416450707,0.0005142574736017393
20.0,0.2,-3.97641468706467,0.00048593968327458726
20.0,0.2,-3.8890209576786336,0.0004622937676127876
20.0,0.2,-3.8016272282925954,0.00044175369516648484
20.0,0.2,-3.714233498906559,0.0004235055592686017
20.0,0.2,-3.6268397695205223,0.0004070656249308364
20.0,0.2,-3.539446040134486,0.00039211589738929835
20.0,0.2,-3.4520523107484493,0.0003784309754959294
20.0,0.2,-3.364658581362413,0.0003658418823769191
20.0,0.2,-3.2772648519763745,0.0003542165489431201
20.0,0.2,-3.189871122590338,0.0003434484796750949
20.0,0.2,-3.1024773932043015,0.00033344974535547486
20.0,0.2,-3.015083663818265,0.00032414641323895064
20.0,0.2,-2.9276899344322285,0.00031547542791173644
20.0,0.2,-2.840296205046192,0.00030738239821574665
20.0,0.2,-2.7529024756601554,0.00029981997459586944
20.0,0.2,-2.665508746274117,0.00029274662581473557
20.0,0.2,-2.5781150168880806,0.0002861256948076171
20.0,0.2,-2.490721287502044,0.0002799246553370755
20.0,0.2,-2.4033275581160076,0.0002741145167779729
20.0,0.2,-2.315933828729971,0.00026866934061412634
20.0,0.2,-2.2285400993439346,0.0002635658428228339
20.0,0.2,-2.1411463699578963,0.00025878306341915573
20.0,0.2,-2.05375264057186,0.0002543020893017358
20.0,0.2,-1.9663589111858233,0.00025010581995966454
20.0,0.2,-1.8789651817997868,0.00024617876804771874
20.0,0.2,-1.7915714524137503,0.00024250688862322437
20.0,0.2,-1.7041777230277138,0.00023907743216291348
20.0,0.2,-1.6167839936416772,0.0002358788174765608
20.0,0.2,-1.529390264255639,0.0002329005213970269
20.0,0.2,-1.4419965348696024,0.0002301329827166879
20.0,0.2,-1.354602805483566,0.000227567518302453
20.0,0.2,-1.2672090760975294,0.0002251962496874008
20.0,0.2,-1.179815346711493,0.00022301203872949005
20.0,0.2,-1.0924216173254564,0.00022100843116373714
20.0,0.2,-1.005027887939418,0.0002191796070662747
20.0,0.2,-0.9176341585533816,0.00021752033740631325
20.0,0.2,-0.8302404291673451,0.0002160259459924155
20.0,0.2,-0.7428466997813086,0.00021469227622825365
20.0,0.2,-0.6554529703952721,0.00021351566218445346
20.0,0.2,-0.5680592410092355,0.00021249290357064978
20.0,0.2,-0.48066551162319904,0.00021162124425818182
20.0,0.2,-0.39327178223716075,0.00021089835406110563
20.0,0.2,-0.30587805285112424,0.00021032231353315737
20.0,0.2,-0.21848432346508773,0.00020989160158239683
20.0,0.2,-0.13109059407905121,0.00020960508574470834
20.0,0.2,-0.0436968646930147,0.00020946201499314515
20.0,0.2,0.04369686469302181,0.00020946201499314523
20.0,0.2,0.1310905940790601,0.00020960508574470834
20.0,0.2,0.2184843234650966,0.00020989160158239677
20.0,0.2,0.3058780528511331,0.00021032231353315745
20.0,0.2,0.39327178223716963,0.00021089835406110568
20.0,0.2,0.48066551162320614,0.0002116212442581819
20.0,0.2,0.5680592410092427,0.00021249290357064983
20.0,0.2,0.6554529703952809,0.0002135156621844536
20.0,0.2,0.7428466997813175,0.0002146922762282537
20.0,0.2,0.830240429167354,0.00021602594599241567
20.0,0.2,0.9176341585533905,0.00021752033740631344
20.0,0.2,1.005027887939427,0.0002191796070662749
20.0,0.2,1.0924216173254635,0.00022100843116373722
20.0,0.2,1.1798153467115,0.00022301203872949024
20.0,0.2,1.2672090760975383,0.00022519624968740095
20.0,0.2,1.3546028054835748,0.0002275675183024533
20.0,0.2,1.4419965348696113,0.00023013298271668813
20.0,0.2,1.5293902642556478,0.00023290052139702714
20.0,0.2,1.6167839936416843,0.00023587881747656102
20.0,0.2,1.7041777230277209,0.00023907743216291377
20.0,0.2,1.7915714524137591,0.00024250688862322467
20.0,0.2,1.8789651817997957,0.0002461787680477191
20.0,0.2,1.9663589111858322,0.000250105819959665
20.0,0.2,2.0537526405718687,0.0002543020893017362
20.0,0.2,2.141146369957905,0.00025878306341915616
20.0,0.2,2.2285400993439417,0.0002635658428228343
20.0,0.2,2.31593382872998,0.0002686693406141269
20.0,0.2,2.4033275581160165,0.0002741145167779734
20.0,0.2,2.490721287502053,0.0002799246553370761
20.0,0.2,2.5781150168880895,0.0002861256948076177
20.0,0.2,2.665508746274126,0.0002927466258147361
20.0,0.2,2.7529024756601626,0.0002998199745958702
20.0,0.2,2.840296205046199,0.00030738239821574736
20.0,0.2,2.9276899344322374,0.0003154754279117372
20.0,0.2,3.015083663818272,0.0003241464132389516
20.0,0.2,3.1024773932043086,0.0003334497453554757
20.0,0.2,3.1898711225903487,0.00034344847967509586
20.0,0.2,3.277264851976385,0.00035421654894312124
20.0,0.2,3.3646585813624217,0.00036584188237692006
20.0,0.2,3.452052310748458,0.00037843097549593053
20.0,0.2,3.5394460401344947,0.00039211589738929987
20.0,0.2,3.626839769520531,0.00040706562493083773
20.0,0.2,3.7142334989065677,0.0004235055592686031
20.0,0.2,3.8016272282926042,0.00044175369516648674
20.0,0.2,3.8890209576786408,0.00046229376761278953
20.0,0.2,3.9764146870646773,0.0004859396832745897
20.0,0.2,4.063808416450714,0.000514257473601742
20.0,0.2,4.15120214583675,0.0005508534527980085
20.0,0.2,4.238595875222787,0.0006063898989542227
20.0,0.2,4.325989604608827,0.000726854742692152
20.0,0.2,4.413383333994863,0.0012549013609093336
20.0,0.2,4.5007770633809,0.0014366357616871386
20.0,0.2,4.588170792766936,0.0008778328062730848
20.0,0.2,4.675564522152973,0.0008447707713044539
20.0,0.2,4.762958251539009,0.0009448758836099238
