U,T,Normalized_S_pi_pi
20.0,0.2,0.02270044697113136
20.0,0.1895263157894737,0.01799914338287874
20.0,0.17905263157894738,0.019204205639699223
20.0,0.16857894736842105,0.02029559932954453
20.0,0.15810526315789475,0.02301011515117731
20.0,0.14763157894736845,0.02199004990464529
20.0,0.13715789473684212,0.02536825060645541
20.0,0.1266842105263158,0.02326474001878924
20.0,0.11621052631578949,0.029092472143780468
20.0,0.10573684210526317,0.03100748694419074
20.0,0.09526315789473686,0.035283349119984334
20.0,0.08478947368421054,0.05282155128810799
20.0,0.07431578947368422,0.05019897534430134
20.0,0.06384210526315792,0.07092063770851724
20.0,0.05336842105263159,0.08799291817176463
20.0,0.04289473684210526,0.23994879735236926
20.0,0.03242105263157896,0.5003054588965196
20.0,0.02194736842105266,0.6290346747531198
20.0,0.01147368421052633,0.8083039975198678
20.0,0.001,0.9607544866383213
