U,T,Normalized_S_pi_pi
8.0,0.2,0.041925680468485174
8.0,0.1895263157894737,0.05117658409288049
8.0,0.17905263157894738,0.055110327084115
8.0,0.16857894736842105,0.06902633142454467
8.0,0.15810526315789475,0.05315258239118068
8.0,0.14763157894736845,0.05854366984593243
8.0,0.13715789473684212,0.07607558603349586
8.0,0.1266842105263158,0.09366434871025522
8.0,0.11621052631578949,0.15399249040811963
8.0,0.10573684210526317,0.1897631943719669
8.0,0.09526315789473686,0.26192120921531115
8.0,0.08478947368421054,0.3016752727313079
8.0,0.07431578947368422,0.49462544230194183
8.0,0.06384210526315792,0.5258923818913295
8.0,0.05336842105263159,0.6677935247633799
8.0,0.04289473684210526,0.7200839059885785
8.0,0.03242105263157896,0.7952749630374149
8.0,0.02194736842105266,0.8854333520840683
8.0,0.01147368421052633,0.944406730311122
8.0,0.001,0.9604516443242531
