U,T,omega_minus_mu,dos
8.0,0.2,-8.011280330442158,0.001035268421773797
8.0,0.2,-7.957693171041208,0.001097128386470196
8.0,0.2,-7.904106011640256,0.001166647181327722
8.0,0.2,-7.850518852239306,0.001245410038227869
8.0,0.2,-7.7969316928383545,0.0013354871305865997
8.0,0.2,-7.743344533437404,0.0014396374741963405
8.0,0.2,-7.689757374036453,0.0015616256636365041
8.0,0.2,-7.636170214635502,0.001706731519690747
8.0,0.2,-7.582583055234551,0.00188260452923593
8.0,0.2,-7.5289958958336,0.0021007675802674408
8.0,0.2,-7.47540873643265,0.0023794220667696735
8.0,0.2,-7.421821577031698,0.0027490666175203717
8.0,0.2,-7.368234417630747,0.0032647998706220372
8.0,0.2,-7.3146472582297966,0.004036534373592815
8.0,0.2,-7.261060098828846,0.005315492039375985
8.0,0.2,-7.207472939427895,0.007799884446791176
8.0,0.2,-7.153885780026944,0.013997677793473
8.0,0.2,-7.100298620625993,0.030574871480312286
8.0,0.2,-7.046711461225042,0.050130766461729724
8.0,0.2,-6.993124301824091,0.03854865876290241
8.0,0.2,-6.9395371424231405,0.030359888146071767
8.0,0.2,-6.88594998302219,0.033984564054333755
8.0,0.2,-6.832362823621239,0.040589065911206916
8.0,0.2,-6.778775664220287,0.044820990582502176
8.0,0.2,-6.725188504819337,0.04789620574481721
8.0,0.2,-6.671601345418386,0.049034078016750075
8.0,0.2,-6.618014186017435,0.05064476638660751
8.0,0.2,-6.564427026616484,0.0508010880707319
8.0,0.2,-6.510839867215533,0.04934171637368416
8.0,0.2,-6.4572527078145825,0.05293333907760576
8.0,0.2,-6.403665548413631,0.05993769152142868
8.0,0.2,-6.350078389012681,0.06815745646962615
8.0,0.2,-6.29649122961173,0.07000231992223048
8.0,0.2,-6.242904070210779,0.07395490862912592
8.0,0.2,-6.189316910809827,0.07598897956026446
8.0,0.2,-6.135729751408877,0.07169484877169627
8.0,0.2,-6.082142592007926,0.07040314197465768
8.0,0.2,-6.028555432606975,0.07437080499640082
8.0,0.2,-5.9749682732060245,0.08028209255751419
8.0,0.2,-5.921381113805074,0.07936942490094091
8.0,0.2,-5.867793954404123,0.07722837098509057
8.0,0.2,-5.814206795003171,0.08279994816749037
8.0,0.2,-5.760619635602221,0.08411565354129598
8.0,0.2,-5.70703247620127,0.08189268624204783
8.0,0.2,-5.653445316800319,0.08102638839407943
8.0,0.2,-5.5998581573993675,0.08441710695435725
8.0,0.2,-5.546270997998417,0.08436422122834067
8.0,0.2,-5.492683838597467,0.0837094338474123
8.0,0.2,-5.439096679196515,0.084746320646993
8.0,0.2,-5.385509519795565,0.08782470709247774
8.0,0.2,-5.331922360394614,0.09212936236357043
8.0,0.2,-5.278335200993663,0.0889214511433424
8.0,0.2,-5.2247480415927114,0.09145800175148255
8.0,0.2,-5.171160882191761,0.0963470114472976
8.0,0.2,-5.1175737227908105,0.0947535564476162
8.0,0.2,-5.063986563389859,0.09711213741567308
8.0,0.2,-5.010399403988908,0.09938122200181057
8.0,0.2,-4.956812244587957,0.10170107058916296
8.0,0.2,-4.903225085187007,0.10303397688979463
8.0,0.2,-4.849637925786055,0.10093733203443597
8.0,0.2,-4.796050766385105,0.10048682993881627
8.0,0.2,-4.742463606984154,0.10119050866965669
8.0,0.2,-4.688876447583203,0.10246172344264186
8.0,0.2,-4.635289288182252,0.10013819058927409
8.0,0.2,-4.581702128781301,0.09739269897808353
8.0,0.2,-4.528114969380351,0.10476893578181201
8.0,0.2,-4.474527809979399,0.10852432116734838
8.0,0.2,-4.420940650578448,0.10032813213736318
8.0,0.2,-4.367353491177497,0.09706996248673597
8.0,0.2,-4.313766331776547,0.09923909131712362
8.0,0.2,-4.2601791723755955,0.10420634119689295
8.0,0.2,-4.206592012974645,0.10717025181637585
8.0,0.2,-4.1530048535736945,0.10991246953419605
8.0,0.2,-4.099417694172743,0.10978951764670002
8.0,0.2,-4.045830534771792,0.10682521554717381
8.0,0.2,-3.9922433753708413,0.10671516144740587
