U,T,m_magnitude
8.0,0.2,4.221112491751713
8.0,0.2,4.284584736937871
8.0,0.2,4.427262582847281
8.0,0.2,4.094762762011228
8.0,0.2,4.93332772105239
8.0,0.2,4.886775917843066
8.0,0.2,3.8457879169821942
8.0,0.2,3.9160183484302684
8.0,0.2,4.369084069356819
8.0,0.2,4.896486415753617
8.0,0.2,3.4676674014080127
8.0,0.2,4.446260627520432
8.0,0.2,6.024617454722809
8.0,0.2,4.224441284916154
8.0,0.2,3.6887303705430687
8.0,0.2,4.801552465388952
8.0,0.2,3.8641934947124486
8.0,0.2,3.1321946826105225
8.0,0.2,4.1935042691670015
8.0,0.2,2.5528003080152186
8.0,0.2,3.970742242991008
8.0,0.2,4.386287459618019
8.0,0.2,4.794613199222387
8.0,0.2,5.110089633974428
8.0,0.2,5.365115097162845
8.0,0.2,4.578240802653326
8.0,0.2,3.880374329746399
8.0,0.2,3.5393834241941033
8.0,0.2,4.941940849483491
8.0,0.2,3.356955568791474
8.0,0.2,3.756596108908634
8.0,0.2,3.033031351346148
8.0,0.2,3.8622860952918834
8.0,0.2,4.020293111461073
8.0,0.2,4.7740760915447
8.0,0.2,5.533566086941846
8.0,0.2,4.588627163941688
8.0,0.2,5.135368301531186
8.0,0.2,3.9262276401204645
8.0,0.2,3.96516788119273
8.0,0.2,3.5032714925466064
8.0,0.2,4.800571425945715
8.0,0.2,4.168164972402088
8.0,0.2,2.791753294141792
8.0,0.2,3.925054214104577
8.0,0.2,3.7409938309762856
8.0,0.2,4.941740526077893
8.0,0.2,4.318021654452837
8.0,0.2,4.412855882424057
8.0,0.2,5.4616779476874235
8.0,0.2,4.502651175610914
8.0,0.2,3.7524693124599997
8.0,0.2,3.3183962600444437
8.0,0.2,3.345612851383243
8.0,0.2,3.849873684808879
8.0,0.2,4.888731827877382
8.0,0.2,4.0734460154743575
8.0,0.2,3.9239590166847167
8.0,0.2,5.385917924681918
8.0,0.2,4.753432938518554
8.0,0.2,3.218651890463616
8.0,0.2,3.8638290204501162
8.0,0.2,5.196162114889067
8.0,0.2,2.8368377866171355
8.0,0.2,3.9436790269888706
8.0,0.2,3.930622004797067
8.0,0.2,2.3358453110617114
8.0,0.2,3.801621806187558
8.0,0.2,5.076103422753268
8.0,0.2,3.901138502163019
8.0,0.2,4.137431655138336
8.0,0.2,3.8508357119168704
8.0,0.2,3.8572352019659104
8.0,0.2,4.179665402462099
8.0,0.2,4.655114372510598
8.0,0.2,2.991019233410142
8.0,0.2,5.71574238181612
8.0,0.2,4.283731996578565
8.0,0.2,3.996932702423132
8.0,0.2,4.407611255704166
8.0,0.2,2.420965826272706
8.0,0.2,3.5192784779393467
8.0,0.2,4.386345290960847
8.0,0.2,3.6332785010449693
8.0,0.2,3.970742242991008
8.0,0.2,3.6854188168521085
8.0,0.2,4.197571234992783
8.0,0.2,3.6304642095226356
8.0,0.2,3.733044788039958
8.0,0.2,3.861450655492251
8.0,0.2,4.414698040051984
8.0,0.2,3.303352287253493
8.0,0.2,3.7231674386367084
8.0,0.2,4.163800181383359
8.0,0.2,3.29027844394683
8.0,0.2,3.033031351346148
8.0,0.2,3.5769225424194766
8.0,0.2,5.233835550959713
8.0,0.2,3.6342969630804234
8.0,0.2,3.6392968318670134
8.0,0.2,3.7172189901479324
8.0,0.2,3.876846093044281
8.0,0.2,4.890929921520621
8.0,0.2,4.644379944842993
8.0,0.2,5.313465617361673
8.0,0.2,3.64240105286089
8.0,0.2,5.052850897375355
8.0,0.2,3.6628636602468743
8.0,0.2,3.656202484626843
8.0,0.2,4.089887797948833
8.0,0.2,3.4126497073495843
8.0,0.2,4.019076835164809
8.0,0.2,3.2481127229817
8.0,0.2,4.73234065505666
8.0,0.2,2.664641145429274
8.0,0.2,3.326470153243627
8.0,0.2,3.2941338833787226
8.0,0.2,4.147713293749682
8.0,0.2,1.8285495617648906
8.0,0.2,3.570173085685196
8.0,0.2,3.354609851299752
8.0,0.2,5.136560998366409
8.0,0.2,3.753646502034881
8.0,0.2,3.84071630127911
8.0,0.2,5.056274135997481
8.0,0.2,4.19503144092211
8.0,0.2,4.535744502066127
8.0,0.2,3.7223907537566636
8.0,0.2,4.311751182417541
8.0,0.2,4.6658822576893275
8.0,0.2,4.7342104464508505
8.0,0.2,5.524869193252427
8.0,0.2,4.807467268008585
8.0,0.2,5.530391962622649
8.0,0.2,3.4193359317518945
8.0,0.2,4.19524289300074
8.0,0.2,3.5779933489480236
8.0,0.2,5.149200668155837
8.0,0.2,3.931339368710438
8.0,0.2,3.374254723113205
8.0,0.2,2.7448047409478242
8.0,0.2,3.36662396131811
8.0,0.2,4.311305956633757
8.0,0.2,4.636944976675821
8.0,0.2,5.0433264783551595
8.0,0.2,4.0104713079101995
8.0,0.2,3.690305857774659
8.0,0.2,4.668341192918704
8.0,0.2,3.970742242991008
8.0,0.2,3.6854188168521085
8.0,0.2,3.0077167138755256
8.0,0.2,3.745408664601381
8.0,0.2,5.094495738722089
8.0,0.2,5.225869439264968
8.0,0.2,3.804885236137409
8.0,0.2,4.423453816328143
8.0,0.2,4.136976884752172
8.0,0.2,2.8027688803393653
8.0,0.2,3.4565906093638787
8.0,0.2,3.4083286770006245
8.0,0.2,3.997187671664051
8.0,0.2,3.105918218563929
8.0,0.2,3.520250826222791
8.0,0.2,4.926485957330443
8.0,0.2,5.436745924922306
8.0,0.2,4.545460502454146
8.0,0.2,4.74237296249322
8.0,0.2,2.116974925362476
8.0,0.2,4.739362660200684
8.0,0.2,3.9235874981346472
8.0,0.2,4.643422548279939
8.0,0.2,4.597940622235782
8.0,0.2,4.168865616024174
8.0,0.2,3.4922910468411126
8.0,0.2,3.403680834686582
8.0,0.2,4.632803026767758
8.0,0.2,4.946454813452519
8.0,0.2,2.915552045090518
8.0,0.2,4.271297018037498
8.0,0.2,2.6770704285647584
8.0,0.2,3.623572737912026
8.0,0.2,4.07605373573761
8.0,0.2,5.986910176287907
8.0,0.2,3.8584204775327464
8.0,0.2,4.0051345400899185
8.0,0.2,4.188353682378649
8.0,0.2,4.344466260366575
8.0,0.2,4.02267151670031
8.0,0.2,3.8038311079306237
8.0,0.2,4.634502464669769
8.0,0.2,5.066672779030182
8.0,0.2,4.810528710870486
8.0,0.2,4.077290169124921
8.0,0.2,3.4070435961584162
8.0,0.2,3.90094688093827
8.0,0.2,4.715944994090957
8.0,0.2,5.870333274613016
8.0,0.2,4.421299136577015
8.0,0.2,4.129179456782585
8.0,0.2,4.342780979449987
8.0,0.2,1.611284216238076
8.0,0.2,3.0937433368543283
8.0,0.2,4.548975609714702
8.0,0.2,3.363653903568243
8.0,0.2,3.54585515271528
8.0,0.2,4.623762886567166
8.0,0.2,4.0590747384942185
8.0,0.2,3.4213899503097394
8.0,0.2,3.0963134328950366
8.0,0.2,3.3770838669827365
8.0,0.2,3.245658734251369
8.0,0.2,4.244465659345443
8.0,0.2,4.715490506256483
8.0,0.2,3.6854188168521085
8.0,0.2,4.892945692694774
8.0,0.2,3.3021346572901407
8.0,0.2,4.952057681528787
8.0,0.2,5.051371376519197
8.0,0.2,4.172762186221162
8.0,0.2,3.0232008141721143
8.0,0.2,3.531517262213105
8.0,0.2,4.416307205249003
8.0,0.2,3.812846557301986
8.0,0.2,2.9641097892196795
8.0,0.2,3.555389925899231
8.0,0.2,3.5324753038122325
8.0,0.2,3.314077317002291
8.0,0.2,4.001302076011631
8.0,0.2,3.85192899403522
8.0,0.2,4.390873005304092
8.0,0.2,3.23485612507382
8.0,0.2,3.9466509387391615
8.0,0.2,4.336218585260405
8.0,0.2,4.453723397078776
8.0,0.2,3.8137071574521006
8.0,0.2,4.228466646497419
8.0,0.2,4.516798727249884
8.0,0.2,3.4080791163197817
8.0,0.2,3.8674713545753017
8.0,0.2,4.198687624467074
8.0,0.2,4.50154097777959
8.0,0.2,4.196438477033081
8.0,0.2,4.565137149964572
8.0,0.2,4.038576379020761
8.0,0.2,3.3575657692666208
8.0,0.2,4.7157442972623
8.0,0.2,3.582443533153505
8.0,0.2,3.7405758718514788
8.0,0.2,5.765104823256485
8.0,0.2,3.267323947976684
8.0,0.2,5.106072362459721
8.0,0.2,5.316041065669298
8.0,0.2,4.096502133341717
8.0,0.2,4.864042051928021
8.0,0.2,4.78521583929872
8.0,0.2,4.453770747136259
8.0,0.2,2.790129449920346
8.0,0.2,4.446710569228659
8.0,0.2,4.887312179639607
8.0,0.2,4.517300671302403
8.0,0.2,4.861000051246538
8.0,0.2,4.429281929809126
8.0,0.2,2.806396841091194
8.0,0.2,3.2039703601102065
8.0,0.2,3.215077887101011
8.0,0.2,4.908615227574543
8.0,0.2,4.196552392182852
8.0,0.2,4.186279243995218
8.0,0.2,3.6661921134424413
8.0,0.2,5.0560454122731056
8.0,0.2,4.477779535240751
8.0,0.2,4.098212326001613
8.0,0.2,5.100999241794747
8.0,0.2,3.815589849669194
8.0,0.2,4.259870464407765
8.0,0.2,3.9343937571609833
8.0,0.2,3.160124992360128
8.0,0.2,3.7573454080486575
8.0,0.2,4.6151378055714005
8.0,0.2,3.8932255250758936
8.0,0.2,4.625554580273521
8.0,0.2,3.1358944977089154
8.0,0.2,4.20586651567192
8.0,0.2,3.177241080129785
8.0,0.2,4.431856715637222
8.0,0.2,3.9016638777790313
8.0,0.2,3.0974891897595627
8.0,0.2,4.619609216879374
8.0,0.2,4.4495944872053705
8.0,0.2,4.311435208593448
8.0,0.2,3.8698593367356904
8.0,0.2,3.622818446343164
8.0,0.2,4.22000685883952
8.0,0.2,4.286804455731964
8.0,0.2,1.3812893883815278
8.0,0.2,4.638884740023043
8.0,0.2,2.4691741889862673
8.0,0.2,3.8066582541044753
8.0,0.2,3.85117081216994
8.0,0.2,5.273475038942913
8.0,0.2,4.3747895223247255
8.0,0.2,4.250528189803413
8.0,0.2,2.7113418215297487
8.0,0.2,4.34284235090831
8.0,0.2,4.100262840824432
8.0,0.2,3.244990241039071
8.0,0.2,4.0318668591773035
8.0,0.2,4.356802935820905
8.0,0.2,5.802572555907964
8.0,0.2,4.2753136957919935
8.0,0.2,4.27851810687903
8.0,0.2,3.115060014097449
8.0,0.2,3.730174678027677
8.0,0.2,4.40359335861816
8.0,0.2,3.3667371573106504
8.0,0.2,4.577102765418815
8.0,0.2,3.6530284317073796
8.0,0.2,3.978817824804339
8.0,0.2,4.0549937409022
8.0,0.2,2.304039052442051
8.0,0.2,3.633901060467538
8.0,0.2,3.323774568646478
8.0,0.2,4.485024403477934
8.0,0.2,4.849618593554927
8.0,0.2,2.4302734672819883
8.0,0.2,3.5990338725501054
8.0,0.2,4.018623368398592
8.0,0.2,3.624811582916837
8.0,0.2,5.52631580308218
8.0,0.2,3.3427389815737567
8.0,0.2,3.798418411251699
8.0,0.2,3.738959587378726
8.0,0.2,3.9927104276829835
8.0,0.2,4.746254688972466
8.0,0.2,4.105441046191039
8.0,0.2,4.39326853127504
8.0,0.2,4.678808289978216
8.0,0.2,4.286140213687172
8.0,0.2,4.630893852841731
8.0,0.2,4.437055902206362
8.0,0.2,3.936009334213143
8.0,0.2,4.435730705708393
8.0,0.2,3.859327919595181
8.0,0.2,2.3619533751033943
8.0,0.2,5.3037361928655065
8.0,0.2,4.4318512774275804
8.0,0.2,5.824401127760172
8.0,0.2,3.6742711792400202
8.0,0.2,4.01288178352452
8.0,0.2,4.6547068874544
8.0,0.2,3.909002235866477
8.0,0.2,4.586227621152359
8.0,0.2,4.8327197783888165
8.0,0.2,3.5798770479645095
8.0,0.2,2.869650588686588
8.0,0.2,3.6285357464720827
8.0,0.2,4.266405378649442
8.0,0.2,3.232383959240588
8.0,0.2,2.683780930498572
8.0,0.2,5.534627619417762
8.0,0.2,3.850092338473913
8.0,0.2,4.402488989081894
8.0,0.2,3.6538377035027874
8.0,0.2,4.183267663102292
8.0,0.2,3.97805240205587
8.0,0.2,3.360686334105921
8.0,0.2,2.068078845200041
8.0,0.2,2.6943251162659245
8.0,0.2,4.221802770876811
8.0,0.2,3.98976716704349
8.0,0.2,5.383599669460538
8.0,0.2,2.632212460954575
8.0,0.2,4.867633383591723
8.0,0.2,3.700100372302964
8.0,0.2,4.075849918039139
8.0,0.2,4.683545771160454
8.0,0.2,3.218599068084489
8.0,0.2,4.022663891370833
8.0,0.2,4.80504950581993
8.0,0.2,3.80528470865399
8.0,0.2,4.0864037066343215
8.0,0.2,3.922192341874737
8.0,0.2,4.111772065557151
8.0,0.2,5.659202236838811
8.0,0.2,3.2928533509978264
8.0,0.2,3.5502732542155457
8.0,0.2,5.207219232504127
8.0,0.2,5.783190754592101
8.0,0.2,4.152943075282358
8.0,0.2,3.169465014493103
8.0,0.2,4.053719575892602
8.0,0.2,4.570072459419528
8.0,0.2,3.178592539825762
8.0,0.2,3.9400120812113775
8.0,0.2,4.694229835374791
8.0,0.2,4.320778398167848
8.0,0.2,3.873190032143851
8.0,0.2,4.670606534947382
8.0,0.2,3.3737375728546644
8.0,0.2,4.138390467999184
8.0,0.2,4.530108068506707
8.0,0.2,5.465669924597767
8.0,0.2,4.764757873943907
8.0,0.2,3.969689654694044
8.0,0.2,3.5185106204477705
8.0,0.2,4.625123414352566
8.0,0.2,5.652845638790729
8.0,0.2,5.908250403619704
8.0,0.2,4.227925818593233
8.0,0.2,5.353141898359612
8.0,0.2,3.971359134707029
8.0,0.2,3.901320078024876
8.0,0.2,3.845353327022835
8.0,0.2,3.7570775907995375
8.0,0.2,3.909002235866477
8.0,0.2,4.12154834789059
8.0,0.2,3.0347047470442607
8.0,0.2,4.2277824750826705
8.0,0.2,2.822347195669303
8.0,0.2,5.704678065070364
8.0,0.2,4.3127391993891235
8.0,0.2,2.987205087731855
8.0,0.2,2.4870498995854997
8.0,0.2,4.744426698255762
8.0,0.2,4.3418278405501685
8.0,0.2,4.9492314072468675
8.0,0.2,2.452522681038402
8.0,0.2,3.699551168125819
8.0,0.2,4.595983405549762
8.0,0.2,4.4836828314329145
8.0,0.2,4.829367256757602
8.0,0.2,3.1927970796774563
8.0,0.2,3.9799797322813486
8.0,0.2,2.4443951421302303
8.0,0.2,3.4402388220274283
8.0,0.2,2.6091587619511665
8.0,0.2,1.718838916110344
8.0,0.2,4.599145850317431
8.0,0.2,3.725699893553944
8.0,0.2,2.502614771344013
8.0,0.2,3.218599068084489
8.0,0.2,3.5607306938137278
8.0,0.2,4.117552974059224
8.0,0.2,3.668272640445708
8.0,0.2,4.5236137745840255
8.0,0.2,2.553751541380629
8.0,0.2,4.227319777938872
8.0,0.2,3.934115022839085
8.0,0.2,4.08455360271127
8.0,0.2,4.482056250447059
8.0,0.2,4.549100949106299
8.0,0.2,4.030666541442608
8.0,0.2,3.990807917413969
8.0,0.2,4.478146214500997
8.0,0.2,4.631896815743293
8.0,0.2,4.602524190936903
8.0,0.2,3.178592539825762
8.0,0.2,2.5328590326646414
8.0,0.2,2.879239234167452
8.0,0.2,4.837325761111653
8.0,0.2,2.312538950558838
8.0,0.2,3.320778504268396
8.0,0.2,2.949300014238356
8.0,0.2,2.8925857347547757
8.0,0.2,4.094385696218289
8.0,0.2,4.515834284225494
8.0,0.2,4.174669943124898
8.0,0.2,3.613287385183125
8.0,0.2,3.769039445126961
8.0,0.2,4.182858123083944
8.0,0.2,2.577868418701697
8.0,0.2,4.708317030312281
8.0,0.2,5.746198004871262
8.0,0.2,4.82184102296686
8.0,0.2,6.012171387414015
8.0,0.2,2.201635067158876
8.0,0.2,3.570511701731735
8.0,0.2,2.9754548438262014
8.0,0.2,3.189211552761126
8.0,0.2,4.502102850266859
8.0,0.2,4.271206663840398
8.0,0.2,4.684610561953369
8.0,0.2,3.8181048588072537
8.0,0.2,4.53726778918487
8.0,0.2,4.3127391993891235
8.0,0.2,5.573591065421242
8.0,0.2,4.727482897932319
8.0,0.2,3.2897866721530242
8.0,0.2,4.108157408775358
8.0,0.2,5.511171624082421
8.0,0.2,4.427830456315023
8.0,0.2,3.6520712468620267
8.0,0.2,3.7317990451247613
8.0,0.2,3.606821880940415
8.0,0.2,4.860040068473271
8.0,0.2,4.444713353520512
8.0,0.2,4.464630811357415
8.0,0.2,4.615844784234812
8.0,0.2,5.007856791633635
8.0,0.2,5.188779273485825
8.0,0.2,3.7536899674728357
8.0,0.2,4.247526222573577
8.0,0.2,3.3755552262275503
8.0,0.2,3.916904029502603
8.0,0.2,4.589752663805304
8.0,0.2,5.536888558362465
8.0,0.2,2.6051043976750416
8.0,0.2,3.508986128154237
8.0,0.2,2.8668351782628583
8.0,0.2,4.487957905765196
8.0,0.2,3.4317963055100886
8.0,0.2,3.7562437925267678
8.0,0.2,4.126478332642554
8.0,0.2,4.224762897128307
8.0,0.2,4.71204823825113
8.0,0.2,2.9845378696261746
8.0,0.2,5.131800287404965
8.0,0.2,4.1093443764151125
8.0,0.2,5.8487816252242135
8.0,0.2,3.4676628546583
8.0,0.2,2.2900837069614197
8.0,0.2,5.239311664032145
8.0,0.2,3.4741049184439583
8.0,0.2,3.7986696501968464
8.0,0.2,4.466216449549749
8.0,0.2,3.2448105075733342
8.0,0.2,3.5936842785374044
8.0,0.2,4.084132032020384
8.0,0.2,2.71042177789597
8.0,0.2,3.108708892537991
8.0,0.2,4.534647888621639
8.0,0.2,4.617565736001024
8.0,0.2,3.270260623847033
8.0,0.2,3.398234190485954
8.0,0.2,3.771056885325384
8.0,0.2,4.130345020198976
8.0,0.2,3.2545331250538685
8.0,0.2,4.153059525173922
8.0,0.2,5.262836380749048
8.0,0.2,4.952420702894945
8.0,0.2,2.988403305450625
8.0,0.2,3.5915593523558975
8.0,0.2,2.8600337109361313
8.0,0.2,4.6425306108677775
8.0,0.2,4.191183424957108
8.0,0.2,3.811587942650194
8.0,0.2,2.058568644610323
8.0,0.2,4.421483238247467
8.0,0.2,3.7384860671739855
8.0,0.2,3.4030686189816124
8.0,0.2,2.7598974587580245
8.0,0.2,3.475646253500502
8.0,0.2,4.86420277832733
8.0,0.2,4.214986168454177
8.0,0.2,2.6679478031825643
8.0,0.2,2.095702376330373
8.0,0.2,4.992744487681514
8.0,0.2,3.8248123598584916
8.0,0.2,4.05530000723453
8.0,0.2,3.434192688994362
8.0,0.2,6.26556015533469
8.0,0.2,3.2769113295422003
8.0,0.2,3.7830216423832534
8.0,0.2,3.316007733400944
8.0,0.2,5.43337725299944
8.0,0.2,3.9896435080644745
8.0,0.2,4.623786339187421
8.0,0.2,2.9991106347289915
8.0,0.2,4.356042083532037
8.0,0.2,2.1099830228204737
8.0,0.2,1.9349178451137745
8.0,0.2,4.692374878625402
8.0,0.2,4.023989008787259
8.0,0.2,4.868072804006643
8.0,0.2,4.136365168377385
8.0,0.2,3.503339063695002
8.0,0.2,3.3109551991292974
8.0,0.2,5.141330332430445
8.0,0.2,4.371865402888201
8.0,0.2,3.9918374816025564
8.0,0.2,4.110653899487755
8.0,0.2,2.007515667761673
8.0,0.2,2.5313377668671238
8.0,0.2,3.2175173601074634
8.0,0.2,4.018350300498671
8.0,0.2,4.887346752647498
8.0,0.2,3.411501462546232
8.0,0.2,3.791297671763514
8.0,0.2,4.1572793673546915
8.0,0.2,3.8547640990610366
8.0,0.2,3.7054557405017152
8.0,0.2,3.141443649133414
8.0,0.2,3.1758440216248243
8.0,0.2,3.2206275362711976
8.0,0.2,4.411693539495362
8.0,0.2,4.044874090980885
8.0,0.2,4.961502655153802
8.0,0.2,4.060942408924682
8.0,0.2,3.2986277096039593
8.0,0.2,5.680197922440837
8.0,0.2,4.856678081255947
8.0,0.2,5.529204341999147
8.0,0.2,4.571950854531692
8.0,0.2,5.436311547407251
8.0,0.2,2.719380196414018
8.0,0.2,4.345107728553055
8.0,0.2,3.942668490225526
8.0,0.2,5.094986594525279
8.0,0.2,4.093886839303925
8.0,0.2,3.9979699419775114
8.0,0.2,3.6733893647586613
8.0,0.2,4.595244708488089
8.0,0.2,4.280605088018515
8.0,0.2,3.447318458757937
8.0,0.2,4.347233864116461
8.0,0.2,4.155677428472571
8.0,0.2,3.996694433662047
8.0,0.2,4.181573656843652
8.0,0.2,3.1708455889352916
8.0,0.2,4.472296249128025
8.0,0.2,4.720263648761037
8.0,0.2,3.494220416309935
8.0,0.2,4.429560499768053
8.0,0.2,4.527645350462647
8.0,0.2,2.344509449171396
8.0,0.2,3.2769113295422003
8.0,0.2,4.968469832605235
8.0,0.2,3.8483512624029483
8.0,0.2,1.4858005786632713
8.0,0.2,2.270277858957029
8.0,0.2,5.347289404569344
8.0,0.2,4.552222123386849
8.0,0.2,5.447129948817847
8.0,0.2,4.531763077773043
8.0,0.2,4.6449517385983725
8.0,0.2,3.7361233418904205
8.0,0.2,4.0168923939106636
8.0,0.2,3.4484677881442183
8.0,0.2,5.516329883996294
8.0,0.2,4.690285511763701
8.0,0.2,5.056539582796742
8.0,0.2,1.896368741113301
8.0,0.2,4.4148825531704
8.0,0.2,3.7212824423140716
8.0,0.2,2.5637143774686377
8.0,0.2,5.030673787445066
8.0,0.2,4.015885992160685
8.0,0.2,5.229124080838699
8.0,0.2,3.1181251535811136
8.0,0.2,3.579486681269075
8.0,0.2,3.892419417372464
8.0,0.2,5.535363087976485
8.0,0.2,4.233423364279544
